,time,id,icij_sar_id,originator_bank,filer_org_name,beneficiary_bank,Transaction_amount_BTC,Transaction_amount_USD,Price,Sender,Receiver,Hash,originator_bank_country,beneficiary_bank_country,number_transactions,amount_transactions
78335,2015-05-13,236974,4335,Nations Trust Bank Plc,Standard Chartered Plc,Scb Uae,4364.11780299,1058286.31707,242.49719298245617,"13YXjxk4dCx2Ar3tr42pWo96Fr91YKZ13E
1EbNYYybrSXVeD9bCCzSeKWr4UJ411o7tw
1761BTgiqnPGp9TP797Fx5kAQHLp1k6qKm
1N9jDtNbHVReUoahV2X7xfThyty5dgHRVx",13HtmBeqa1TCTEmPKWob1BexsyvwqWbJkv,0ecb0feb17c3b98dc8072bb1d6f1222d1c6a7c7e5e12b59211dab7a19ac33e7f,Sri Lanka,United Arab Emirates,2.0,20688.2
78336,2015-05-13,237754,4348,J And T Bank And Trust,The Bank of New York Mellon Corp.,Banco Nacional Ultramarino,4364.11780299,1058286.31707,242.49719298245617,"13YXjxk4dCx2Ar3tr42pWo96Fr91YKZ13E
1EbNYYybrSXVeD9bCCzSeKWr4UJ411o7tw
1761BTgiqnPGp9TP797Fx5kAQHLp1k6qKm
1N9jDtNbHVReUoahV2X7xfThyty5dgHRVx",13HtmBeqa1TCTEmPKWob1BexsyvwqWbJkv,0ecb0feb17c3b98dc8072bb1d6f1222d1c6a7c7e5e12b59211dab7a19ac33e7f,Barbados,Macau,3.0,3673730.13
78337,2015-05-13,237757,4348,Citibank Japan Ltd,The Bank of New York Mellon Corp.,"DBS Bank Ltd, Singapore",4364.11780299,1058286.31707,242.49719298245617,"13YXjxk4dCx2Ar3tr42pWo96Fr91YKZ13E
1EbNYYybrSXVeD9bCCzSeKWr4UJ411o7tw
1761BTgiqnPGp9TP797Fx5kAQHLp1k6qKm
1N9jDtNbHVReUoahV2X7xfThyty5dgHRVx",13HtmBeqa1TCTEmPKWob1BexsyvwqWbJkv,0ecb0feb17c3b98dc8072bb1d6f1222d1c6a7c7e5e12b59211dab7a19ac33e7f,Japan,Singapore,1.0,6441717.79
78338,2015-05-13,238377,4411,Trade Bank For Investment And Finance,The Bank of New York Mellon Corp.,Standard Chartered Bank,4364.11780299,1058286.31707,242.49719298245617,"13YXjxk4dCx2Ar3tr42pWo96Fr91YKZ13E
1EbNYYybrSXVeD9bCCzSeKWr4UJ411o7tw
1761BTgiqnPGp9TP797Fx5kAQHLp1k6qKm
1N9jDtNbHVReUoahV2X7xfThyty5dgHRVx",13HtmBeqa1TCTEmPKWob1BexsyvwqWbJkv,0ecb0feb17c3b98dc8072bb1d6f1222d1c6a7c7e5e12b59211dab7a19ac33e7f,Iraq,United Arab Emirates,4.0,5136157.0
78339,2015-05-13,238384,4411,Region Trade Bank For Investment And Finance,The Bank of New York Mellon Corp.,Commercial Bank of Kuwait Sak,4364.11780299,1058286.31707,242.49719298245617,"13YXjxk4dCx2Ar3tr42pWo96Fr91YKZ13E
1EbNYYybrSXVeD9bCCzSeKWr4UJ411o7tw
1761BTgiqnPGp9TP797Fx5kAQHLp1k6qKm
1N9jDtNbHVReUoahV2X7xfThyty5dgHRVx",13HtmBeqa1TCTEmPKWob1BexsyvwqWbJkv,0ecb0feb17c3b98dc8072bb1d6f1222d1c6a7c7e5e12b59211dab7a19ac33e7f,Iraq,Kuwait,14.0,1739997.5
78340,2015-05-13,239556,2864,Bank Soyuz,The Bank of New York Mellon Corp.,AS Expobank,4364.11780299,1058286.31707,242.49719298245617,"13YXjxk4dCx2Ar3tr42pWo96Fr91YKZ13E
1EbNYYybrSXVeD9bCCzSeKWr4UJ411o7tw
1761BTgiqnPGp9TP797Fx5kAQHLp1k6qKm
1N9jDtNbHVReUoahV2X7xfThyty5dgHRVx",13HtmBeqa1TCTEmPKWob1BexsyvwqWbJkv,0ecb0feb17c3b98dc8072bb1d6f1222d1c6a7c7e5e12b59211dab7a19ac33e7f,Russia,Latvia,1.0,790000.0
78341,2016-02-03,237296,4013,UBS Financial Services Inc,The Bank of New York Mellon Corp.,Cainvest International Bank Ltd,15000.0,5582751.923076922,372.18346153846153,"3HEcw4aQxRzwQMiB3qdDwQjzKpXQzHA3Hp
38JX5zKzfUVsK1B3RwAs59uKAiPSnv6oRd
3MjXqcMEGT3P8iXrTAtDqWaSPaXNg9cYLM
3KyCz5dBkRKGr156qZM3JDKdJs847sRXBM
32aTz3VpyAVPwpSwwicJQKmUbpi4PXpVkK
33BCSjqWHd3R7aqDbDe8z1GnyJB7aUg3WN
39H4A79VTZr2zkYEmJBZCbu2WoUzHbN4Th
3PcBFyWivdUP2GrQBwwv39hcyeLfYW5par
3DGfrpt6dUG45av3MX7w2DoL2BSvufpVoi
3D3ckXmtLMZa2q2H4GZuQB3uEzuQEPKgyJ
32fCrKgUzMecZRsAMp2uPcTRSjEbtsoWZL
32KFJz3N8traNN86vh9twZ14MfXgwsDnQg
3PAbbQ79dJNsxxdhpYxetYBYTNAnkAUX4L
3MVtKSogSudCkk44nArafWw9qoN45JQeMR
3NKBPNyZ8pAPTtL4in1KaEN8ZEeQW9RZPe",155Z7qEPR8VgjzDuLTLV1bMtMfwpvcskBF,bafbeeb0c12335fd56c35e273664fe7ad75b64eee86fdb511ef4d3621b173eb3,United States,Cayman Islands,1.0,50000.0
78348,2016-02-03,238684,3094,ING Belgium NV/Sa,China Investment Corporation,Bank of China,15000.0,5582751.923076922,372.18346153846153,"3HEcw4aQxRzwQMiB3qdDwQjzKpXQzHA3Hp
38JX5zKzfUVsK1B3RwAs59uKAiPSnv6oRd
3MjXqcMEGT3P8iXrTAtDqWaSPaXNg9cYLM
3KyCz5dBkRKGr156qZM3JDKdJs847sRXBM
32aTz3VpyAVPwpSwwicJQKmUbpi4PXpVkK
33BCSjqWHd3R7aqDbDe8z1GnyJB7aUg3WN
39H4A79VTZr2zkYEmJBZCbu2WoUzHbN4Th
3PcBFyWivdUP2GrQBwwv39hcyeLfYW5par
3DGfrpt6dUG45av3MX7w2DoL2BSvufpVoi
3D3ckXmtLMZa2q2H4GZuQB3uEzuQEPKgyJ
32fCrKgUzMecZRsAMp2uPcTRSjEbtsoWZL
32KFJz3N8traNN86vh9twZ14MfXgwsDnQg
3PAbbQ79dJNsxxdhpYxetYBYTNAnkAUX4L
3MVtKSogSudCkk44nArafWw9qoN45JQeMR
3NKBPNyZ8pAPTtL4in1KaEN8ZEeQW9RZPe",155Z7qEPR8VgjzDuLTLV1bMtMfwpvcskBF,bafbeeb0c12335fd56c35e273664fe7ad75b64eee86fdb511ef4d3621b173eb3,Belgium,China,1.0,13425.0
78355,2016-02-03,238686,3094,Postfinance Ag,China Investment Corporation,Bank of China,15000.0,5582751.923076922,372.18346153846153,"3HEcw4aQxRzwQMiB3qdDwQjzKpXQzHA3Hp
38JX5zKzfUVsK1B3RwAs59uKAiPSnv6oRd
3MjXqcMEGT3P8iXrTAtDqWaSPaXNg9cYLM
3KyCz5dBkRKGr156qZM3JDKdJs847sRXBM
32aTz3VpyAVPwpSwwicJQKmUbpi4PXpVkK
33BCSjqWHd3R7aqDbDe8z1GnyJB7aUg3WN
39H4A79VTZr2zkYEmJBZCbu2WoUzHbN4Th
3PcBFyWivdUP2GrQBwwv39hcyeLfYW5par
3DGfrpt6dUG45av3MX7w2DoL2BSvufpVoi
3D3ckXmtLMZa2q2H4GZuQB3uEzuQEPKgyJ
32fCrKgUzMecZRsAMp2uPcTRSjEbtsoWZL
32KFJz3N8traNN86vh9twZ14MfXgwsDnQg
3PAbbQ79dJNsxxdhpYxetYBYTNAnkAUX4L
3MVtKSogSudCkk44nArafWw9qoN45JQeMR
3NKBPNyZ8pAPTtL4in1KaEN8ZEeQW9RZPe",155Z7qEPR8VgjzDuLTLV1bMtMfwpvcskBF,bafbeeb0c12335fd56c35e273664fe7ad75b64eee86fdb511ef4d3621b173eb3,Switzerland,China,2.0,18735.75
78362,2015-12-18,237301,4013,Kleinwort Benson,The Bank of New York Mellon Corp.,Union Bancaire Privee,3401.74953304,1561266.72863,458.9599303135885,1AfGc5N6RHUscdEAnspKXYTStxLFhkKmLs,1LqgeW5WCJwFkTMEhwGK7y1x7mnPBf55CT,5f456fd3a782ec79e24e290e16c64c56d3345491efb7db7e86f203d8b11ea9ba,Guernsey,Switzerland,2.0,2053259.51
