,time,id,icij_sar_id,originator_bank,filer_org_name,beneficiary_bank,Transaction_amount_BTC,Transaction_amount_USD,Price,Sender,Receiver,Hash,originator_bank_country,beneficiary_bank_country,number_transactions,amount_transactions
79550,2015-05-11,237755,4348,Taishin International Bank,The Bank of New York Mellon Corp.,CTBC Bank Co Ltd Hong Kong Branch,5000.0,1203073.0909090908,240.6146181818182,"1FadDQWq27kyoWkwWYmNBaZvN9qFz4Dsuj
1H1sq6Msgt9HjRrBuz8ieZdThzWXS6oPVA
1Nbq2XZaRsKknf5fcT2wTXvBS31PaUWSeX
177U8keqkfrMqAiD5uJz4ZcwdHsS4qFjTZ
1Ftghv3oW8o8qo8BkkCVUMxkCkZTKR7wz",1CpxfPZ3HS9rVF9LMzrCs741rmKs7CmbbT,38b2876b8a54def7f4e530d8b08d86542283b6fc2581fb3f6ab8b8311178ac23,Taiwan,Hong Kong,2.0,3724596.0
79551,2015-05-18,237756,4348,Eurobank Cyprus Ltd,The Bank of New York Mellon Corp.,Credit Suisse,4362.11818949,1029319.9027600001,235.96790780141842,13HtmBeqa1TCTEmPKWob1BexsyvwqWbJkv,1NUjs1NiPSvuXwEF1Rc1wkuyEvsPM3HUZj,bee9372fd08ec0a8c69a6527983d1b9b7b5554a8ad1e07ea1a34886410c9dc2c,Cyprus,Monaco,3.0,3999949.0
79552,2016-11-14,237989,2498,Wedbush Securities Inc,The Bank of New York Mellon Corp.,SEB Bank,5000.0,3504577.777777778,700.9155555555556,3J5KeQSVBUEs3v2vEEkZDBtPLWqLTuZPuD,32MKGhKdTqEQZrrtd7iemEETz8bn7CJEaW,58c6f9a6865325d64060525573eb6abb952f4db7c800f62863bdc9f749621ce6,United States,Estonia,1.0,1500000.0
79569,2015-04-23,237999,3063,Investors Bank,The Bank of New York Mellon Corp.,Int'L. Commercial Bank of China,4470.73621839,1048254.91823,234.47031250000003,1CZrt1LtEce9vK8WyX2iEJDhX8dwwDceKj,15BKhdweX1nApH24RZbX9N6WCqC1fTkw66,b1fb05c52532b2ec8c7c8979970fde0c7997501ab9f86318a9751fed25eb5bdc,United States,Taiwan,4.0,520528.6
79571,2016-01-06,238030,2484,British Arab Commercial Bank Ltd,The Bank of New York Mellon Corp.,AS Expo Bank,5371.9998350000005,2313954.863,430.7436585365856,1PHiYMEfTNPj3NyNdN1DZoWQ1GncSTVw2e,178iknxczYc9v6wy4CzTNqf2hdmXKhyChN,cf66f9a1e82d7022d104f693ea3053207d5fa24cdaf0d63d6b627a4c25c7a22b,United Kingdom,Latvia,2.0,736500.0
79592,2016-01-22,238034,2484,DBS Bank Ltd,The Bank of New York Mellon Corp.,AS Expo Bank,2803.32095052,1115342.9979700001,397.86489583333326,188bgwMHv1EmEydo9fDjXBu92D9vUVmfab,1Dzki3grqi6tEdbiEARhA4GrFADxscYcY9,b79527621c622775bcffa0e234f72cfc8266cb091db5ae272f3508b67997eaf5,Singapore,Latvia,2.0,3033041.1
79643,2016-07-15,238145,3107,Maiwand Bank,The Bank of New York Mellon Corp.,CIMB Bank Berhad,18937.80935633,12559121.6997,663.1771111111112,1A5ff4id6kptj2omc7iLnrmga17xkvDRhg,1PoPrPNYkRE3Jbbp7gmnBiXaZVi5kba3CB,18a3b938fc0b3559ab027db6be0a26c1639cb83bde6fae29abf8fa9ac48d4c2f,Afghanistan,Malaysia,2.0,211868.0
79670,2016-08-04,238146,3107,Maiwand Bank,The Bank of New York Mellon Corp.,BTA Bank,4356.05713043,2485930.46821,570.6836236933798,1AAGDi7pwUgJ8cdJBqusyhgGdhCvZtx7VH,19hiya9dShtjXfCv1xwLYSvYcGAnraDDTv,d63ebbd084d984dc2cd70e3f8a5c4b86dd1844ed736c955220659f7d9c024559,Afghanistan,Kazakhstan,4.0,246400.0
79710,2016-07-10,238147,3107,Maiwand Bank,The Bank of New York Mellon Corp.,Yes Bank Limited,3289.20533958,2128437.83707,647.0978906249998,17DE4JVBkTvmfMjshBb8tVp3UGESMykXzj,1HFktsV1CcAV7pBhKCJn38WxMLA12AqnVS,72e3375663b1a620d132e90e0c0ad2738d4e203f6b98bc244bf06e2b62292ac6,Afghanistan,India,5.0,300000.0
79761,2015-08-27,238148,3087,PT Bank Ocbc Nisp Tbk,The Bank of New York Mellon Corp.,UBS AG,29181.81427743,6605508.139901999,226.35700704225349,"3HNSiAq7wFDaPsYDcUxNSRMD78qVcYKicw
3DB4peYNqDezAqDMBeSuxmkJve946ap9mi",3BZG7XkPXJs84jAhVoxKEKbvwnC78uFHMX,f2653b426053b0b75124877537e085d7df8ec0e5ad8ec5fecf954767e548cbe1,Indonesia,Singapore,1.0,180200.0
79774,2015-10-01,238154,3087,PT Bank Ocbc Nisp Tbk,The Bank of New York Mellon Corp.,DBS Bank Ltd,4832.437,1146368.0,237.2235460992907,"19ZZFyCxaqWmEa7aN94urTSzwYS6XcpPz8
13WqS3ZpFbosiWCo9bYs9h88XhAVHn8hQb
1B4YS9e4rQtXKd3Rbd32kDugDcDV5QkTPE
1JykncCRFxAhmmbCA6aro6zUvbzhjYhU1y
18PDzLnnmwcEYLtbBWnrFPFdaEigBfAEBh
18tQ9pxforVdbfq4FZYjkW1HCPLK85Adj2
1MbR9mj4SJxcBsFvFwPei91dTnzEbWoexb
1LCca9eber1jgFsNwHAXs4kDE2PyGPQugE
1Jv6qqDt2gdwyeEpAfEaVbJnPHkGWDaYN6
1L8mFnpcvudrzxQFNmvBdJPc1Cq9Q1dt2K
1Py6RKoTGQNNU68mXw8YyQVGYeQzLX2Yw2
19mDA6NAd2sscC7MMdzUHTZnw9gNvqTA4f
15BdvXcg2jFKT7uEcUsJBSyANKRZ7TdvDj
1NKG57hKtWmUF62NkMXZPbCgwNYNsExThZ
1EG7ew22s41C42tveznds1UC3yRFdrQSfG
1L7YnXiGgcqNFT7M8DjTYTG2TTp8Lhgy8V
1JbkmT4rnNLYUzEd72N2kVnPitt1ontdoB
1GcDKkwCKmVvmHquWNH9rJD54XapSfLaVo
1AvZU6C3eRiyzBRCP5xsPd1Ck4AXbYqdgs
1Lnmd77DmE927jwSy16TvJ414suzGRr8jr",1JZaURNNDZxzXJRkFhKcmJfQ2PKbDfKh1k,d5bffe6120bb0b4f078481d90dbd81df6bf5007df0c30b79029a11768577d23a,Indonesia,Singapore,1.0,500000.0
79779,2015-10-01,240130,2471,AS Expobank,The Bank of New York Mellon Corp.,ABN Amro Bank N.V.,4832.437,1146368.0,237.2235460992907,"19ZZFyCxaqWmEa7aN94urTSzwYS6XcpPz8
13WqS3ZpFbosiWCo9bYs9h88XhAVHn8hQb
1B4YS9e4rQtXKd3Rbd32kDugDcDV5QkTPE
1JykncCRFxAhmmbCA6aro6zUvbzhjYhU1y
18PDzLnnmwcEYLtbBWnrFPFdaEigBfAEBh
18tQ9pxforVdbfq4FZYjkW1HCPLK85Adj2
1MbR9mj4SJxcBsFvFwPei91dTnzEbWoexb
1LCca9eber1jgFsNwHAXs4kDE2PyGPQugE
1Jv6qqDt2gdwyeEpAfEaVbJnPHkGWDaYN6
1L8mFnpcvudrzxQFNmvBdJPc1Cq9Q1dt2K
1Py6RKoTGQNNU68mXw8YyQVGYeQzLX2Yw2
19mDA6NAd2sscC7MMdzUHTZnw9gNvqTA4f
15BdvXcg2jFKT7uEcUsJBSyANKRZ7TdvDj
1NKG57hKtWmUF62NkMXZPbCgwNYNsExThZ
1EG7ew22s41C42tveznds1UC3yRFdrQSfG
1L7YnXiGgcqNFT7M8DjTYTG2TTp8Lhgy8V
1JbkmT4rnNLYUzEd72N2kVnPitt1ontdoB
1GcDKkwCKmVvmHquWNH9rJD54XapSfLaVo
1AvZU6C3eRiyzBRCP5xsPd1Ck4AXbYqdgs
1Lnmd77DmE927jwSy16TvJ414suzGRr8jr",1JZaURNNDZxzXJRkFhKcmJfQ2PKbDfKh1k,d5bffe6120bb0b4f078481d90dbd81df6bf5007df0c30b79029a11768577d23a,Latvia,Netherlands,7.0,41450000.0
