time,Hash,Sender,Receiver,"Transaction_amount_BTC",Price,"Transaction_amount_USD"
"2015-12-21",58e1efcc0fa4534324d44f326b3b292af9deb73e891d85705cd5cebd68fcc0f1,1BWD5ZCMQx8N4yhgJxXT4QEGMCgve5z6Js,16SV15WiN4J5MGDEHWp6Ho9CizCEmQg6RE,"3530.30943952","438.4265853658536","1547781.51285"
"2015-12-21",441aef3b61c2a8a28fd563f8f57391936b1fef25d3bdc41a8400e3e992661168,1LurqRgM1K9DNp9AnCJSHmpXoooikAMC7f,1BWD5ZCMQx8N4yhgJxXT4QEGMCgve5z6Js,"3531.4064906","438.4265853658536","1548262.4892"
"2015-12-21",47080cc03d13840f2b0f7d9a49932d24e64b74b5fe357c9095f6932da301451a,1C948varN3sUGEa6ryLFfP5hqoZqzvTnJ9,1LurqRgM1K9DNp9AnCJSHmpXoooikAMC7f,"3532.49954168","438.4265853658536","1548741.71187"
"2015-12-21",b89a5b78edb1d3273ca99e146e75c1d549caea7c042730e903c7e4e58e326061,1B88yCmJ5YCzm8LA7eWYm7StPKvxoGpfx8,1C948varN3sUGEa6ryLFfP5hqoZqzvTnJ9,"3533.59059276","438.4265853658536","1549220.05766"
"2015-12-21",242ec9f9a24ea7f2f3df3026fba5c29794acf72e24a5ffac330c04fb113559e7,1DiRBm5sxvbEcZ7ZME9CWdosDYPMSaWD5g,1HDRD3iQnFquWtceMNsVHaDZzyTLMQZ3KJ,"2729.93542184","438.4265853658536","1196876.26527"
"2015-12-21",1d0a3aee70cfe1a10d7bbbc412c9e0b745ac623fe6cf13e5191bceab01c68a44,1AkqDJRWcytARP3FoGNoaNJxbQEpyZCpSc,1B88yCmJ5YCzm8LA7eWYm7StPKvxoGpfx8,"3556.04891696","438.4265853658536","1559066.38406"
"2015-12-21",453c3a47de5e4a349ec62e54bc472326505d0d01ab4d4cd14269f499452735e9,17izUXjPnS4F58bcCmQ9jP74nrjJUsR96y,1AkqDJRWcytARP3FoGNoaNJxbQEpyZCpSc,"3567.04901696","438.4265853658536","1563889.12034"
"2015-12-21",04c4b49366e1e82ccf7d21894c52d87529c91ec7bdb76c9d902c24f31e3bafdb,12nGSMXs3eVgoCMBtLbM9RcaMMFLFvaKAy,17izUXjPnS4F58bcCmQ9jP74nrjJUsR96y,"3577.04442696","438.4265853658536","1568271.37381"
"2015-12-21",94ba6aef9b95c8da9f332336f87b5d085103af71b7bec574bbc0f17e782ba497,1JrqQdgXmZXkuc81GPWJvEbAKB9U4o9VPT,12nGSMXs3eVgoCMBtLbM9RcaMMFLFvaKAy,"3606.04452696","438.4265853658536","1580985.78863"
"2015-12-21",33b8902270ad52ee74e7ff01447dfe967cee7a680dbb080b24fae2c6d3f86d03,1ARaJVXyhLxhwWHojd21hBJCm8u3XXuf7S,1JrqQdgXmZXkuc81GPWJvEbAKB9U4o9VPT,"3622.34852696","438.4265853658536","1588133.89568"
"2015-12-21",a7cd67ed55c8e9a21a06c32b2164e964dcc6a28ed58b25190b61033e7bb96a74,1DkcH6GWvQKBgoQQzzMB8LKYN8tViU9Nxf,1DiRBm5sxvbEcZ7ZME9CWdosDYPMSaWD5g,"2730.09508055","438.4265853658536","1196946.26389"
"2015-12-21",2a885bd21209667fa6e6e5f2728af778c3883113d3ce2e98ceed0ceb7966fa07,12brMSdCkb2YkCdt7CLRq5JsJfjGnGYjvc,1ARaJVXyhLxhwWHojd21hBJCm8u3XXuf7S,"3651.34862696","438.4265853658536","1600848.31050"
"2015-12-21",465f7bbb9d634b856f0100034b1f318b1147df6ecc1923d0b58003290108628c,14z5JGvo8vxSjRo3FM8AQzRdxUjX2LWk39,1DkcH6GWvQKBgoQQzzMB8LKYN8tViU9Nxf,"2730.52818055","438.4265853658536","1197136.14644"
"2015-12-21",6a6347e250c40839f9b8c10ccf8de93908f9cbd6f6d01cdf66c972a09594158b,1EfBKgAm7K5bC6GVhwQ7JsPkE9hrVY8X4d,12brMSdCkb2YkCdt7CLRq5JsJfjGnGYjvc,"3696.34872696","438.4265853658536","1620577.55068"
"2015-12-21",4d1cc75524e4f2cea3d3b3fb8d5b2dfa4cd7dcc4c7107409b95b77c230f3b685,14PGcMeAsUCipinqnMR3BJWjuxPBhv2nuh,14z5JGvo8vxSjRo3FM8AQzRdxUjX2LWk39,"2731.31283357","438.4265853658536","1197480.15919"
"2015-12-21",5297ac86feb6712a7d2c3d70bcd27a53604667796f218a0334cab17819735a8e,1GNoUktJJvXonhiQQ3GwggsgKnvTWQv2GC,14PGcMeAsUCipinqnMR3BJWjuxPBhv2nuh,"2751.31293357","438.4265853658536","1206248.73474"
"2015-12-21",1b74c1f1b60596f7d09367c4b80a66ad1cc63b8dd2c1b188cde0bffa8cb43601,18SschopdVa8CEEUQ74zJJ7eCFviiqF7Z1,1EfBKgAm7K5bC6GVhwQ7JsPkE9hrVY8X4d,"3697.32777781","438.4265853658536","1621006.79260"
"2015-12-21",349190eee01ac13c2a2a4a8a14636d267430618c96590ed233c61129c6d26141,3JMgscFQDQbK7hvhrZPcZCM41uVzrANrWr,322FYiX8JWrs13cSc1UTFf1TFc4dJrsCys,"3497.32357476","438.4265853658536","1533319.63280"
"2015-12-21",259b52e56d170e06c30563164baeda15d4187b6c7907aa25f827cd6596d61900,163Q5tamJcmgDxqfd7qgTzqjcx2H69WM2Q,1GNoUktJJvXonhiQQ3GwggsgKnvTWQv2GC,"2753.22914871","438.4265853658536","1207088.85440"
"2015-12-21",881dbfe6390e4361fe08483ebcda7d149a09c7766d6211801aded3d2c8fb71f9,1N6mE3BASvrbFsKTp7H9KvuRwqW1hYT2mQ,18SschopdVa8CEEUQ74zJJ7eCFviiqF7Z1,"3698.31582866","438.4265853658536","1621439.98036"
